Country,Import,Share
Afghanistan,1528993,0.0007749729696529640
Anguilla,389225,0.00019727942123552900
Albania,4771305,0.002418344887759480
United Arab Emirates,1506431903,0.7635378353255220
Argentina,501216627,0.25404258741906100
Armenia,1340016,0.0006791896227794930
American Samoa,9262059,0.004694491974999860
Antarctica,194765,0.00009871700552877580
Antigua and Barbuda,349348,0.0001770676889968260
Austria,1672386956,0.8476524651847330
Azerbaijan,1474105,0.0007471528839113600
Burundi,688092,0.0003487607207060120
Belgium,1363666355,0.691176849567122
Bangladesh,638667767,0.3237099555155690
Bulgaria,57663291,0.029226747189969500
Bahrain,50113812,0.025400279599887200
The Bahamas,1646327,0.0008344439276110840
Bosnia and Herzegovina,11374176,0.005765022437692960
Belarus,18967399,0.009613661756216450
Belize,1894282,0.0009601203843968910
Bermuda,120497,0.00006107413044027880
Bolivia,22728459,0.011519962071026900
Brazil,475336428,0.2409251600179940
Barbados,1426476,0.0007230120359339000
Brunei,695662517,0.3525978514458510
Bhutan,932978,0.0004728816490859560
Botswana,314504,0.00015940694224743700
Canada,1682427394,0.8527414800157210
Cocos (Keeling) Islands,188892,0.00009574026446405420
Switzerland,2547625230,1.2912686258576200
Chile,304735359,0.1544556882356510
China,47363047039,24.006049220386800
C̫te d'Ivoire,7698976,0.003902240424911620
Cameroon,365338,0.00018517225048582600
Dem. Rep. Congo,391206,0.00019828349480086400
Congo,96872420,0.049099967759740700
Cook Islands,120407,0.00006102851377148510
Colombia,84758666,0.04296008882568050
Costa Rica,71775795,0.03637969631015470
Cuba,7069664,0.0035832724574466
Christmas Island,1404717,0.0007119834459752280
Cyprus,18470864,0.009361992060222660
Czechia,448727615,0.2274384332445220
Germany,10370765890,5.256442141559160
Djibouti,1079430,0.0005471111199544400
Dominica,300711,0.0001524159343288770
Denmark,856248862,0.433991341586332
Dominican Republic,30785299,0.015603586535507000
Algeria,524381854,0.2657839261700390
Ecuador,17572792,0.008906802582702370
Egypt,30322933,0.015369235461246600
Spain,1748753429,0.8863589552489340
Estonia,156281179,0.07921140867910860
Ethiopia,15104125,0.0076555540838052000
Finland,739164510,0.3746469181852220
Fiji,127653471,0.06470140118848060
France,3005709014,1.5234492509071400
Gabon,145587930,0.07379151536843390
United Kingdom,5517405218,2.7965071825523200
Georgia,2426879,0.0012300681727244100
Ghana,16858208,0.008544614342111020
Greece,215221708,0.10908552634481800
Guatemala,15280462,0.0077449308229725500
Guam,548514,0.0002780153496296100
Guyana,276310,0.00014004824171517500
Hong Kong,515207275,0.26113377359710700
Honduras,41373094,0.0209700302885044
Croatia,23443859,0.011882563902748600
Haiti,2001288,0.0010143565761850100
Hungary,555083072,0.28134489609300400
Indonesia,2577570547,1.30644646594105
India,2961797910,1.501192825490140
Ireland,1010307390,0.5120761954375430
Iran,14242184,0.007218677671398050
Iceland,11856079,0.006009275877044660
Israel,490739539,0.24873225571664200
Italy,4480590354,2.270995624203510
Jamaica,1108634,0.0005619132221260950
Jordan,33882335,0.017173325040550600
Japan,13868824610,7.029439764346730
Kazakhstan,4639799,0.002351690825021990
Kenya,26478993,0.013420927262996000
Kyrgyzstan,343712,0.00017421107182659400
Cambodia,153374846,0.07773832834727560
Kiribati,147608,0.00007481539163654420
Saint Kitts and Nevis,141469,0.0000717038279729437
Korea,7673021600,3.8890853885945400
Kuwait,16830072,0.008530353557742380
Laos,14179671,0.007186992840105880
Lebanon,12376240,0.006272920455448650
Libya,408862063,0.20723250344609000
Sri Lanka,202783869,0.10278138432069200
Lesotho,728670,0.00036932775610943000
Lithuania,63698610,0.03228575994426790
Luxembourg,25145909,0.012745251137417400
Latvia,20681782,0.010482599995065500
Macao,30229417,0.01532183670125880
Morocco,36216576,0.018356439469233800
Moldova,1909039,0.0009675999975234180
Madagascar,14895180,0.0075496499186820500
Maldives,2362906,0.0011976433376940300
Mexico,1692701697,0.8579490297605690
North Macedonia,5112724,0.0025913937482355900
Mali,310854,0.00015755693290191800
Malta,11254122,0.005704172842633520
Myanmar,34136393,0.017302094814332500
Montenegro,235741,0.00011948576797863600
Mongolia,2559036,0.0012970521960328400
Mozambique,3961348,0.0020078166632475300
Mauritania,53326143,0.02702845559191480
Mauritius,11894604,0.006028802345547700
Malawi,174713,0.00008855361172155680
Malaysia,6484567965,3.2867154347681900
Namibia,8314097,0.00421401565741164
New Caledonia,13309042,0.006745712898604520
Niger,611344,0.0003098608529663130
Norfolk Island,124895,0.00006330326498866040
Nigeria,358278763,0.181594262972885
Nicaragua,11694670,0.005927465422674550
Netherlands,2961710847,1.5011486974453000
Norway,241279500,0.12229296709100800
Nepal,5201147,0.002636211111621570
Nauru,5036677,0.0025528491836606100
New Zealand,5677484533,2.8776436835863700
Oman,8311206,0.0042125503486396100
Pakistan,207930896,0.10539016460881200
Panama,6755014,0.003423791514825340
Peru,91230025,0.046240109271765200
Philippines,416753859,0.2112324750496320
Papua New Guinea,2522813273,1.278692638917720
Poland,686544233,0.34797623209924800
Portugal,156639426,0.07939298684294540
Paraguay,3531407,0.001789900261049770
Palestine,348131,0.00017645085026436100
French Polynesia,1967982,0.0009974753676201120
Qatar,228596462,0.11586454549386500
Romania,113404444,0.057479255129698600
Russia,230949178,0.11705702401094800
Rwanda,803123,0.00040706439879489100
Saudi Arabia,317494725,0.1609227968227460
Sudan,313790,0.00015904505000834100
Senegal,2371523,0.00120201088030508
Singapore,7868785789,3.988308834941930
"Saint Helena, Ascension and Tristan da Cunha",961629,0.0004874034621704680
Solomon Islands,5258584,0.0026653231627937900
Sierra Leone,1272213,0.0006448235450660050
El Salvador,6270278,0.003178102164110400
Serbia,21836772,0.01106800884273160
Suriname,119414,0.00006052520985912880
Slovakia,276022485,0.13990251419819500
Slovenia,101324932,0.051356731817558700
Sweden,1740772955,0.882314037034777
Eswatini,582468,0.0002952249982098170
Seychelles,3821748,0.0019370601414298700
Syria,861257,0.0004365297257243180
Togo,13749318,0.006968867614935420
Thailand,9297276018,4.712341786622140
Timor-Leste,1383221,0.0007010881580598090
Tonga,1881305,0.0009535429676087260
Trinidad and Tobago,4086111,0.002071053023788630
Tunisia,23632775,0.011978316331657700
Turkey,660742390,0.3348985195837370
Tuvalu,100722,0.00005105113460256900
Tanzania,4734891,0.0023998883835655800
Uganda,2175695,0.001102755091232660
Ukraine,45041344,0.022829289680751100
Uruguay,9999878,0.005068456918918100
United States,26039793727,13.198318287764400
Uzbekistan,289929,0.00014695105740740100
Venezuela,484440,0.00024553932255980400
British Virgin Islands,1587922,0.000804841243823401
Vietnam,3444896485,1.7460522442728700
Vanuatu,1068686,0.000541665503404232
Samoa,3736792,0.001894000033496190
Yemen,70412285,0.03568859870941260
South Africa,665992862,0.33755973116411700
Zambia,17297239,0.008767138027856930
Zimbabwe,288696,0.00014632610904492800
Taiwan,3173506159,1.6084975485513700
Undeclared,2693178490,1.3650425686715300